ticket,strategy,symbol,type,volume,profit,open_price,close_price,open_time,close_time,comment,raw_magic,canonical_magic,build_id
57346913291,SMC,XAUUSD,BUY,0.01,7.62,4049.14,4049.14,2026-07-28T05:20:34+00:00,2026-07-28T05:20:34+00:00,[sl 4049.14],4001,4001,FER3ON-FINAL-build1
57347280054,SMC,XAUUSD,BUY,0.02,7.3,4043.45,4043.45,2026-07-28T06:04:29+00:00,2026-07-28T06:04:29+00:00,[sl 4043.45],4001,4001,FER3ON-FINAL-build1
57350977757,SMC,XAUUSD,BUY,0.01,-10.02,4053.35,4053.35,2026-07-28T11:06:34+00:00,2026-07-28T11:06:34+00:00,[sl 4053.35],4001,4001,FER3ON-FINAL-build1
57354401604,SMC,XAUUSD,BUY,0.03,-30.0,4031.9,4031.9,2026-07-28T14:18:19+00:00,2026-07-28T14:18:19+00:00,[sl 4031.90],4001,4001,FER3ON-FINAL-build1
57358279143,SMC,XAUUSD,BUY,0.01,7.87,4023.03,4023.03,2026-07-28T17:31:11+00:00,2026-07-28T17:31:11+00:00,[sl 4023.03],4001,4001,FER3ON-FINAL-build1
57358746437,SMC,XAUUSD,BUY,0.02,-20.2,4029.96,4029.96,2026-07-28T17:54:21+00:00,2026-07-28T17:54:21+00:00,[sl 4029.96],4001,4001,FER3ON-FINAL-build1
57359334964,SMC,XAUUSD,BUY,0.01,-10.08,4039.1,4039.1,2026-07-28T18:20:18+00:00,2026-07-28T18:20:18+00:00,[sl 4039.10],4001,4001,FER3ON-FINAL-build1
57359945395,SMC,XAUUSD,BUY,0.02,-20.14,4043.12,4043.12,2026-07-28T18:46:50+00:00,2026-07-28T18:46:50+00:00,[sl 4043.12],4001,4001,FER3ON-FINAL-build1
57359945721,MICRO,XAUUSD,BUY,0.02,-19.86,4043.18,4043.18,2026-07-28T18:46:50+00:00,2026-07-28T18:46:50+00:00,[sl 4043.18],5001,5001,FER3ON-FINAL-build1
57411322858,MICRO,XAUUSD,BUY,0.02,-15.24,4076.37,4083.99,2026-07-31T09:16:30+00:00,2026-07-31T09:16:30+00:00,[sl 4083.99],5001,5001,FER3ON-FINAL-build1
57412175730,SMC,XAUUSD,SELL,0.06,-60.12,4084.27,4074.25,2026-07-31T10:26:57+00:00,2026-07-31T10:26:57+00:00,[sl 4074.25],4001,4001,FER3ON-FINAL-build1
57412803083,MICRO,XAUUSD,SELL,0.02,-20.0,4073.33,4063.33,2026-07-31T11:04:26+00:00,2026-07-31T11:04:26+00:00,[sl 4063.33],5001,5001,FER3ON-FINAL-build1
57471511081,SMC,XAUUSD,SELL,0.01,32.31,4128.14,4160.45,2026-08-05T08:45:49+00:00,2026-08-05T08:45:49+00:00,,4001,4001,FER3ON-FINAL-build1
57471544617,MICRO,XAUUSD,SELL,0.02,44.6,4140.36,4162.66,2026-08-05T08:46:51+00:00,2026-08-05T08:46:51+00:00,,5001,5001,FER3ON-FINAL-build1
57471752847,MANUAL,XAUUSD,SELL,0.02,21.18,4160.69,4171.28,2026-08-05T08:52:33+00:00,2026-08-05T08:52:33+00:00,,0,0,FER3ON-FINAL-build1
57471763364,MANUAL,XAUUSD,SELL,0.02,9.64,4163.24,4168.06,2026-08-05T08:53:05+00:00,2026-08-05T08:53:05+00:00,,0,0,FER3ON-FINAL-build1
